,search_terms,term_1,term_2,title,authors,year,venue,type,key,url,ee,pages,volume,number,publisher,isbn,doi
16,Schema Evolution,Schema,Evolution,Ontology Evolution: Not the Same as Schema Evolution.,"['Natalya Fridman Noy', 'Michel C. A. Klein']",2004,Knowl. Inf. Syst.,Journal Articles,journals/kais/NoyK04,https://dblp.org/rec/journals/kais/NoyK04,https://doi.org/10.1007/s10115-003-0137-2,428-440,6,4,,,10.1007/S10115-003-0137-2
17,Schema Evolution,Schema,Evolution,Schema Evolution in Data Warehousing Environments - A Schema Transformation-Based Approach.,"['Hao Fan 0001', 'Alexandra Poulovassilis']",2004,ER,Conference and Workshop Papers,conf/er/FanP04,https://dblp.org/rec/conf/er/FanP04,https://doi.org/10.1007/978-3-540-30464-7_48,639-653,,,,,10.1007/978-3-540-30464-7_48
18,Schema Evolution,Schema,Evolution,"Schema Evolution in Heterogeneous Database Architectures, A Schema Transformation Approach.","['Peter McBrien', 'Alexandra Poulovassilis']",2002,CAiSE,Conference and Workshop Papers,conf/caise/McBrienP02,https://dblp.org/rec/conf/caise/McBrienP02,https://doi.org/10.1007/3-540-47961-9_34,484-499,,,,,10.1007/3-540-47961-9_34
19,Schema Evolution,Schema,Evolution,Schema Analysis of OneMax Problem: Evolution Equation for First Order Schemata.,['Hiroshi Furutani'],2002,FOGA,Conference and Workshop Papers,conf/foga/Furutani02,https://dblp.org/rec/conf/foga/Furutani02,,9-26,,,,,
20,Schema Evolution,Schema,Evolution,Data Schema Design as a Schema Evolution Process.,['Henderik Alex Proper'],1997,Data Knowl. Eng.,Journal Articles,journals/dke/Proper97,https://dblp.org/rec/journals/dke/Proper97,https://doi.org/10.1016/S0169-023X(96)00045-6,159-189,22,2,,,10.1016/S0169-023X(96)00045-6
21,Schema Evolution,Schema,Evolution,External Schemas in a Schema-Evolution Environment for OODMs.,"['José Samos', 'Fèlix Saltor']",1997,DEXA Workshop,Conference and Workshop Papers,conf/dexaw/SamosS97,https://dblp.org/rec/conf/dexaw/SamosS97,https://doi.org/10.1109/DEXA.1997.617348,516-522,,,,,10.1109/DEXA.1997.617348
22,Schema Evolution,Schema,Evolution,Supporting Exceptions to Schema Consistency to Easy Schema Evolution on OODBMS.,"['Eric Amiel', 'Marie-Jo Bellosta', 'Eric Dujardin', 'Eric Simon']",1994,BDA,Conference and Workshop Papers,conf/bda/AmielBDS94,https://dblp.org/rec/conf/bda/AmielBDS94,,,,,,,
23,Schema Evolution,Schema,Evolution,Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS.,"['Eric Amiel', 'Marie-Jo Bellosta', 'Eric Dujardin', 'Eric Simon']",1994,VLDB,Conference and Workshop Papers,conf/vldb/AmielBDS94,https://dblp.org/rec/conf/vldb/AmielBDS94,http://www.vldb.org/conf/1994/P108.PDF,108-119,,,,,
24,Schema Evolution,Schema,Evolution,Desktop Schema Evolution - Editing Schema.,['Takao Miura'],1991,DASFAA,Conference and Workshop Papers,conf/dasfaa/Miura91,https://dblp.org/rec/conf/dasfaa/Miura91,,61-68,,,,,
25,Schema Evolution,Schema,Evolution,Code Recommendation for Schema Evolution of Mimic Storage Systems.,"['Xianglong Kong', 'Zhuo Lv', 'Cen Chen 0004', 'Hao Chang', 'Nuannuan Li', 'Fan Zhang']",2025,Int. J. Softw. Eng. Knowl. Eng.,Journal Articles,journals/ijseke/KongLCCLZ25,https://dblp.org/rec/journals/ijseke/KongLCCLZ25,https://doi.org/10.1142/S0218194024500499,89-110,35,1,,,10.1142/S0218194024500499
26,Schema Evolution,Schema,Evolution,EVOSCHEMA: TOWARDS TEXT-TO-SQL ROBUSTNESS AGAINST SCHEMA EVOLUTION.,"['Tianshu Zhang 0001', 'Kun Qian 0002', 'Siddhartha Sahai', 'Yuan Tian', 'Shaddy Garg', 'Huan Sun 0001', 'Yunyao Li 0001']",2025,Proc. VLDB Endow.,Journal Articles,journals/pvldb/ZhangQSTGSL25,https://dblp.org/rec/journals/pvldb/ZhangQSTGSL25,https://www.vldb.org/pvldb/vol18/p3655-zhang.pdf,3655-3668,18,10,,,
27,Schema Evolution,Schema,Evolution,PROV-IDEA: Supporting Interoperable Schema and Data Provenance within Database Evolution.,"['Beatriz Pérez 0001', 'Ángel Luis Rubio', 'María A. Zapata']",2025,ACM Trans. Softw. Eng. Methodol.,Journal Articles,journals/tosem/PerezRZ25,https://dblp.org/rec/journals/tosem/PerezRZ25,https://doi.org/10.1145/3697008,59:1-59:27,34,3,,,10.1145/3697008
28,Schema Evolution,Schema,Evolution,Time-Related Patterns Of Schema Evolution.,"['Panos Vassiliadis', 'Alexandros Karakasidis 0001']",2025,EDBT,Conference and Workshop Papers,conf/edbt/Vassiliadis025,https://dblp.org/rec/conf/edbt/Vassiliadis025,https://doi.org/10.48786/edbt.2025.25,310-323,,,,,10.48786/EDBT.2025.25
29,Schema Evolution,Schema,Evolution,DynaSchema: A Library to Support the Relational Data Schema Evolution for the Self-Adaptive Software Domain.,"['Gabriel Nagassaki Campos', 'Frank José Affonso']",2025,ICEIS,Conference and Workshop Papers,conf/iceis/CamposA25,https://dblp.org/rec/conf/iceis/CamposA25,https://doi.org/10.5220/0013349000003929,722-733,,,,,10.5220/0013349000003929
