Fulltext;key;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
Y;conf/apnoms/ChenJHL12;Design and implementation of database schema evolution for service continuity of web-based internet applications.;Yi-Chang Chen, Jeu-Yih Jeng, Teh-Sheng Huang, Phone Lin;2012;APNOMS;Conference and Workshop Papers;https://dblp.org/rec/conf/apnoms/ChenJHL12;https://doi.org/10.1109/APNOMS.2012.6356090;1-Απρ;;;;;10.1109/APNOMS.2012.6356090
Y;conf/comad/NeamtiuBULB13;Improving Cloud Availability with On-the-fly Schema Updates.;Iulian Neamtiu, Jonathan Bardin, Md. Reaz Uddin, Dien-Yen Lin, Pamela Bhattacharya;2013;COMAD;Conference and Workshop Papers;https://dblp.org/rec/conf/comad/NeamtiuBULB13;http://comad.in/comad2013/pdfs/neamtiu.pdf;24-34;;;;;
N;conf/data/Vassiliadis16;Schema Evolution for Relational Databases.;Panos Vassiliadis;2016;DATA;Conference and Workshop Papers;https://dblp.org/rec/conf/data/Vassiliadis16;;5;;;;;
Y;conf/dolap/0001RSA12;ORE: an iterative approach to the design and evolution of multi-dimensional schemas.;Petar Jovanovic , Oscar Romero , Alkis Simitsis, Alberto Abelló;2012;DOLAP;Conference and Workshop Papers;https://dblp.org/rec/conf/dolap/0001RSA12;https://doi.org/10.1145/2390045.2390047;1-Αυγ;;;;;10.1145/2390045.2390047
Y;conf/edbt/BeineHWC14;"Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.";Mathieu Beine, Nicolas Hames, Jens H. Weber, Anthony Cleve;2014;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/BeineHWC14;https://ceur-ws.org/Vol-1133/paper-16.pdf;100-107;;;;;
Y;conf/edbt/StorlK22;Darwin: A Data Platform for Schema Evolution Management and Data Migration.;Uta Störl, Meike Klettke;2022;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/StorlK22;https://ceur-ws.org/Vol-3135/dataplat_short3.pdf;;;;;;
Y;conf/emisa/ChiaoKR14;Towards schema evolution in object-aware process management systems.;Carolina Ming Chiao, Vera Künzle, Manfred Reichert;2014;EMISA;Conference and Workshop Papers;https://dblp.org/rec/conf/emisa/ChiaoKR14;https://dl.gi.de/handle/20.500.12116/3040;101-115;;;;;
Y;conf/gvd/AugeH18;Inverses in Research Data Management: Combining Provenance Management, Schema and Data Evolution (Inverse im Forschungsdatenmanagement).;Tanja Auge, Andreas Heuer;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/AugeH18;https://ceur-ws.org/Vol-2126/paper17.pdf;108-113;;;;;
Y;conf/gvd/Moller18;Data Evolution and Migration Strategies for NoSQL Databases (Datenevolutions- und Migrationsstrategien in NoSQL-Datenbanken).;Mark Lukas Möller;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/Moller18;https://ceur-ws.org/Vol-2126/paper2.pdf;16-22;;;;;
Y;conf/gvd/NosingerKH13;A Conceptual Model for the XML Schema Evolution.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2013;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/NosingerKH13;https://ceur-ws.org/Vol-1020/paper_05.pdf;28-33;;;;;
