key;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
conf/apnoms/ChenJHL12;302;431;661;302: Relational;431: Tool;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Tool for schema evolution and data migration for databases for web-based applications;Design and implementation of database schema evolution for service continuity of web-based internet applications.;Yi-Chang Chen, Jeu-Yih Jeng, Teh-Sheng Huang, Phone Lin;2012;APNOMS;Conference and Workshop Papers;https://dblp.org/rec/conf/apnoms/ChenJHL12;https://doi.org/10.1109/APNOMS.2012.6356090;1-Απρ;;;;;10.1109/APNOMS.2012.6356090
conf/comad/NeamtiuBULB13;302;432;635;302: Relational;432: DBMS internal mechanism;635: Guaranteeing the zerodowntime of the evolution of a working system;Mechanism for on the fly-schema updates;Improving Cloud Availability with On-the-fly Schema Updates.;Iulian Neamtiu, Jonathan Bardin, Md. Reaz Uddin, Dien-Yen Lin, Pamela Bhattacharya;2013;COMAD;Conference and Workshop Papers;https://dblp.org/rec/conf/comad/NeamtiuBULB13;http://comad.in/comad2013/pdfs/neamtiu.pdf;24-34;;;;;
conf/dolap/0001RSA12;;;;;;;EXCLUDE? Data warehouse stepwise schema design, on the basis of requirements. Irrelevant to schema evolution;ORE: an iterative approach to the design and evolution of multi-dimensional schemas.;Petar Jovanovic , Oscar Romero , Alkis Simitsis, Alberto Abelló;2012;DOLAP;Conference and Workshop Papers;https://dblp.org/rec/conf/dolap/0001RSA12;https://doi.org/10.1145/2390045.2390047;1-Αυγ;;;;;10.1145/2390045.2390047
conf/edbt/BeineHWC14;302;411;678;302: Relational;411: Algebra;678: Handling of schema mappings among any two schemata;Algebra, language and tool for schema mapping across different versions;"Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.";Mathieu Beine, Nicolas Hames, Jens H. Weber, Anthony Cleve;2014;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/BeineHWC14;https://ceur-ws.org/Vol-1133/paper-16.pdf;100-107;;;;;
conf/edbt/StorlK22;;;;;;;;Darwin: A Data Platform for Schema Evolution Management and Data Migration.;Uta Störl, Meike Klettke;2022;EDBT/ICDT Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/edbt/StorlK22;https://ceur-ws.org/Vol-3135/dataplat_short3.pdf;;;;;;
conf/emisa/ChiaoKR14;309;401;631, 622;309: Other;401: General Framework;"631: Guaranteeing the correctness/validity of schema and application code coevolution
622: Impact to external source code when the logical schema changes";framework for schema and workflow co-evolution;Towards schema evolution in object-aware process management systems.;Carolina Ming Chiao, Vera Künzle, Manfred Reichert;2014;EMISA;Conference and Workshop Papers;https://dblp.org/rec/conf/emisa/ChiaoKR14;https://dl.gi.de/handle/20.500.12116/3040;101-115;;;;;
conf/gvd/AugeH18;;;;;;;EXCLUDE: abs in ENG, paper in DE;Inverses in Research Data Management: Combining Provenance Management, Schema and Data Evolution (Inverse im Forschungsdatenmanagement).;Tanja Auge, Andreas Heuer;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/AugeH18;https://ceur-ws.org/Vol-2126/paper17.pdf;108-113;;;;;
conf/gvd/Moller18;;;;;;;EXCLUDE: abs in ENG, paper in DE;Data Evolution and Migration Strategies for NoSQL Databases (Datenevolutions- und Migrationsstrategien in NoSQL-Datenbanken).;Mark Lukas Möller;2018;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/Moller18;https://ceur-ws.org/Vol-2126/paper2.pdf;16-22;;;;;
conf/gvd/NosingerKH13;303;401, 431;678;303: XML;"401: General Framework
431: Tool";678: Handling of schema mappings among any two schemata;Conceptual framework simplifying XSD and tool for evolving XML schemata;A Conceptual Model for the XML Schema Evolution.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2013;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/NosingerKH13;https://ceur-ws.org/Vol-1020/paper_05.pdf;28-33;;;;;
conf/icdim/CastelltortL13;305;421;677;305: NoSQL (Graph/ JSON/Key-Value/Other);421: Algorithm (fully automated);677: Schema version management techniques;Schema mappings among schema versions for graph data;Representing history in graph-oriented NoSQL databases: A versioning system.;Arnaud Castelltort, Anne Laurent;2013;ICDIM;Conference and Workshop Papers;https://dblp.org/rec/conf/icdim/CastelltortL13;https://doi.org/10.1109/ICDIM.2013.6694022;228-234;;;;;10.1109/ICDIM.2013.6694022
conf/isdevel/PolakMP12;303;422;633;303: XML;422: Method (not fully automated);633: Guaranteeing the correctness/validity of peripheral constructs during evolution;Method for adapting queries for evolving XML schemata;XML Query Adaptation as Schema Evolves.;Marek Polák, Irena Mlýnková, Eric Pardede;2012;ISD;Conference and Workshop Papers;https://dblp.org/rec/conf/isdevel/PolakMP12;https://doi.org/10.1007/978-1-4614-7540-8_31;401-416;;;;;10.1007/978-1-4614-7540-8_31
conf/issta/0003D13;302;422;631;302: Relational;422: Method (not fully automated);631: Guaranteeing the correctness/validity of schema and application code coevolution;Method on how to select test cases to test whether source code is inconsistent with schema;Early detection of faults related to database schematic changes.;Deepak Garg , Amitava Datta;2013;JAMAICA@ISSTA;Conference and Workshop Papers;https://dblp.org/rec/conf/issta/0003D13;https://doi.org/10.1145/2489280.2489283;1-Ιουν;;;;;10.1145/2489280.2489283
conf/lwa/MollerKS19;305;411, 401;611;305: NoSQL (Graph/ JSON/Key-Value/Other);"411: Algebra
401: General Framework";611: SMOs/Languages/Rigorous Models for schema evolution;Conceptual framework, algebra and data migration methods for different cases of NoSQL evolution;Keeping NoSQL Databases Up to Date - Semantics of Evolution Operations and their Impact on Data Quality.;Mark Lukas Möller, Meike Klettke, Uta Störl;2019;LWDA;Conference and Workshop Papers;https://dblp.org/rec/conf/lwa/MollerKS19;https://ceur-ws.org/Vol-2454/paper_19.pdf;25-37;;;;;
conf/sbbd/DesantiBFS13;302;421;672;302: Relational;421: Algorithm (fully automated);672: Computing the diff of two schemata;Framework to find deltas between two schema versions and perform changes cumulatively;A Redundancy-Free Approach to Schema Evolution.;Claudiomar Desanti, Marcos Bernardelli, Márcio Fuckner, Raquel Kolitski Stasiu;2013;SBBD;Conference and Workshop Papers;https://dblp.org/rec/conf/sbbd/DesantiBFS13;http://www.lbd.dcc.ufmg.br/colecoes/sbbd/2013/007.pdf;7:1-7:6;;;;;
