"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Barr V.; Stonebraker M.; Fernandez R.C.; Deng D.; Brodie M.","Barr, Valerie (36658178600); Stonebraker, Michael (56900953800); Fernandez, Raul Castro (57190805697); Deng, Dong (15046502500); Brodie, Michael (24516954600)","36658178600; 56900953800; 57190805697; 15046502500; 24516954600","How we teach CS2All, and what to do about database decay","2017","Communications of the ACM","60","1","","10","11","0","10.1145/3014349","https://www.scopus.com/pages/publications/85008626078?origin=resultslist","Short survey","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85008626078"
"Liu J.; Wang Z.; Fan X.; Zhang Y.; Wang J.","Liu, Jiefeng (36548896000); Wang, Zixiao (57214781746); Fan, Xianhao (57207622333); Zhang, Yiyi (56527525100); Wang, Jiaqi (57213424984)","36548896000; 57214781746; 57207622333; 56527525100; 57213424984","A Novel Curve Database for Moisture Evaluation of Transformer Oil-Immersed Cellulose Insulation Using FDS and Exponential Decay Model","2020","IEEE Access","8","","9212548","180728","180737","11","10.1109/ACCESS.2020.3027906","https://www.scopus.com/pages/publications/85092776732?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85092776732"
"Stonebraker M.; Deng D.; Brodie M.L.","Stonebraker, Michael (56900953800); Deng, Dong (15046502500); Brodie, Michael L. (24516954600)","56900953800; 15046502500; 24516954600","Database decay and how to avoid it","2016","Proceedings - 2016 IEEE International Conference on Big Data, Big Data 2016","","","7840584","7","16","23","10.1109/BigData.2016.7840584","https://www.scopus.com/pages/publications/85015237295?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85015237295"
