"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Golipour L.; Conkie A.; Syrdal A.","Golipour, Ladan (15072558500); Conkie, Alistair (6508120365); Syrdal, Ann (6602543939)","15072558500; 6508120365; 6602543939","Prosodically Modifying Speech for Unit Selection Speech Synthesis Databases","2013","8th ISCA Workshop on Speech Synthesis, SSW 2013","","","","255","259","0","","https://www.scopus.com/pages/publications/85133160741?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85133160741"
"Zhou C.; Frankl P.","Zhou, Chixiang (26968027800); Frankl, Phyllis (7003591525)","26968027800; 7003591525","Inferential checking for mutants modifying database states","2011","Proceedings - 4th IEEE International Conference on Software Testing, Verification, and Validation, ICST 2011","","","5770615","259","268","9","10.1109/ICST.2011.63","https://www.scopus.com/pages/publications/79958737164?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-79958737164"
"Menon S.; Ghoshal A.; Sarkar S.","Menon, Syam (7201837825); Ghoshal, Abhijeet (55502493700); Sarkar, Sumit (7403239069)","7201837825; 55502493700; 7403239069","Modifying Transactional Databases to Hide Sensitive Association Rules","2022","Information Systems Research","33","1","","152","178","16","10.1287/ISRE.2021.1033","https://www.scopus.com/pages/publications/85134711975?origin=resultslist","Article","Final","","Scopus","2-s2.0-85134711975"
"Topaz N.; Mojib N.; Chande A.T.; Kubanek J.; Jordan I.K.","Topaz, Nadav (60403726000); Mojib, Nazia (25637337400); Chande, Aroon T. (56519945200); Kubanek, Julia (6603812071); Jordan, I King (7006767804)","60403726000; 25637337400; 56519945200; 6603812071; 7006767804","RampDB: a web application and database for the exploration and prediction of receptor activity modifying protein interactions","2017","Database : the journal of biological databases and curation","2017","","","","","3","10.1093/database/bax067","https://www.scopus.com/pages/publications/85050244442?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85050244442"
