"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bikaun T.; French T.; Stewart M.; Liu W.; Hodkiewicz M.","Bikaun, Tyler (57555509100); French, Tim (13611425300); Stewart, Michael (57196713433); Liu, Wei (36077178500); Hodkiewicz, Melinda (7801541646)","57555509100; 13611425300; 57196713433; 36077178500; 7801541646","MaintIE: A Fine-Grained Annotation Schema and Benchmark for Information Extraction from Maintenance Short Texts","2024","2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings","","","","10939","10951","8","","https://www.scopus.com/pages/publications/85195905149?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85195905149"
"Moseley J.D.; Grady W.M.; Santoso S.","Moseley, John D. (55436892300); Grady, W. MacK (7005733277); Santoso, Surya (55512476900)","55436892300; 7005733277; 55512476900","New approaches for smart device integration and maintenance of power system models utilizing a unified data schema","2013","2013 IEEE PES Innovative Smart Grid Technologies Conference, ISGT 2013","","","6497792","","","3","10.1109/ISGT.2013.6497792","https://www.scopus.com/pages/publications/84876935593?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84876935593"
"Ebrahimipour V.; Yacout S.","Ebrahimipour, Vahid (7801666538); Yacout, Soumaya (6701541078)","7801666538; 6701541078","Ontology-based schema to support maintenance knowledge representation with a case study of a pneumatic valve","2015","IEEE Transactions on Systems, Man, and Cybernetics: Systems","45","4","7001696","702","712","39","10.1109/TSMC.2014.2383361","https://www.scopus.com/pages/publications/84925124501?origin=resultslist","Article","Final","","Scopus","2-s2.0-84925124501"
"Laurenzi E.","Laurenzi, Emanuele (55822278500)","55822278500","An Agile and Ontology-based Meta-Modelling Approach for the Design and Maintenance of Enterprise Knowledge Graph Schemas","2024","Enterprise Modelling and Information Systems Architectures","19","","","","","10","10.18417/emisa.19.6","https://www.scopus.com/pages/publications/85190974999?origin=resultslist","Article","Final","","Scopus","2-s2.0-85190974999"
"Liu H.-H.; Li X.-X.","Liu, Huai-Han (38761699300); Li, Xue-Xiang (55924316900)","38761699300; 55924316900","Research on the schema of Changjiang waterway maintenance management in the 'Internet+' age","2017","2017 4th International Conference on Transportation Information and Safety, ICTIS 2017 - Proceedings","","","","264","270","1","10.1109/ICTIS.2017.8047775","https://www.scopus.com/pages/publications/85032802324?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85032802324"
"Byun N.; Han W.S.; Kwon Y.W.; Kang Y.J.","Byun, Namju (57212105063); Han, Whi Seok (57223364772); Kwon, Young Woong (57223360327); Kang, Young Jong (7402784706)","57212105063; 57223364772; 57223360327; 7402784706","Development of bim-based bridge maintenance system considering maintenance data schema and information system","2021","Sustainability (Switzerland)","13","9","4858","","","47","10.3390/su13094858","https://www.scopus.com/pages/publications/85105706389?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85105706389"
"Li C.; Sugimoto S.","Li, Chunqiu (57193410690); Sugimoto, Shigeo (7201570409)","57193410690; 7201570409","Provenance description of metadata application profiles for long-term maintenance of metadata schemas","2018","Journal of Documentation","74","1","","36","61","11","10.1108/JD-03-2017-0042","https://www.scopus.com/pages/publications/85035201702?origin=resultslist","Article","Final","","Scopus","2-s2.0-85035201702"
