"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Thomer A.K.; Weber N.M.; Twidale M.B.","Thomer, Andrea K. (55328529600); Weber, Nicholas M. (56908053100); Twidale, Michael B. (6602444408)","55328529600; 56908053100; 6602444408","Supporting the long-term curation and migration of natural history museum collections databases","2018","Proceedings of the Association for Information Science and Technology","55","1","","504","513","10","10.1002/pra2.2018.14505501055","https://www.scopus.com/pages/publications/85064486496?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85064486496"
"Ulyanova S.; Sinepol V.","Ulyanova, Svetlana (56538699400); Sinepol, Vladislav (57215276921)","56538699400; 57215276921","Toolbox for Historical and Biographical Research (Prosopographic Databases on Russian History)","2015","Proceedings - 3rd International Conference on Computer Technology in Russia and in the Former Soviet Union, SoRuCom 2014","","","7032983","183","186","2","10.1109/SoRuCom.2014.47","https://www.scopus.com/pages/publications/84924098258?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84924098258"
"Willett P.","Willett, Peter (16074541700)","16074541700","Searching chemical databases in the pre-history of cheminformatics","2024","Journal of Cheminformatics","16","1","120","","","0","10.1186/s13321-024-00919-9","https://www.scopus.com/pages/publications/85208645003?origin=resultslist","Note","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208645003"
"Jensen C.S.; Snodgrass R.T.","Jensen, Christian S. (35453638700); Snodgrass, Richard T. (7006511327)","35453638700; 7006511327","History in Temporal Databases","2018","Encyclopedia of Database Systems: Second Edition","","","","1719","1720","1","10.1007/978-1-4614-8265-9_1415","https://www.scopus.com/pages/publications/105012655114?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105012655114"
"Costa de Lima L.H.; Penha G.; de Alencar Rocha L.M.; Moro M.M.; Couto da Silva A.P.; Laender A.H.F.; M. de Oliveira J.P.","Costa de Lima, Lucas Henrique (57203136538); Penha, Gustavo (57184186400); de Alencar Rocha, Laís Mota (57195031941); Moro, Mirella M. (7102336257); Couto da Silva, Ana Paula (35182777600); Laender, Alberto H. F. (6701595293); M. de Oliveira, José Palazzo (57195034541)","57203136538; 57184186400; 57195031941; 7102336257; 35182777600; 6701595293; 57195034541","The collaboration network of the Brazilian Symposium on Databases: 30 editions of history","2017","Journal of the Brazilian Computer Society","23","1","10","","","2","10.1186/s13173-017-0059-6","https://www.scopus.com/pages/publications/85024853523?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85024853523"
"Dang S.-M.","Dang, Sarah-Mai (57216560031)","57216560031","Unknowable facts and digital databases: Reflections on the women film pioneers project and women in film history","2020","Digital Humanities Quarterly","14","4","","","","12","","https://www.scopus.com/pages/publications/85085138719?origin=resultslist","Article","Final","","Scopus","2-s2.0-85085138719"
"","","","RODBH 2019 - Proceedings of the Doctoral Symposium on Research on Online Databases in History, co-located with 3rd Data for History Workshop","2019","CEUR Workshop Proceedings","2532","","","","","0","","https://www.scopus.com/pages/publications/85078106951?origin=resultslist","Conference review","Final","","Scopus","2-s2.0-85078106951"
"Sara S.; Monia B.; Emanuela C.; Isabella F.; Giorgia M.; Adelaide R.M.; Luca T.","Sara, Santorsa (60110541400); Monia, Bartolucci (60111167200); Emanuela, Cilione (60110541500); Isabella, Florio (60110541600); Giorgia, Migliorelli (60111080400); Adelaide, Ranchino Maria (60111080500); Luca, Tiberi (60110995200)","60110541400; 60111167200; 60110541500; 60110541600; 60111080400; 60111080500; 60110995200","From manuscript inventories to data: Artificial intelligence and databases, a new chapter for the history of science at “G. Marconi” Central Library of the CNR","2025","Digital Applications in Archaeology and Cultural Heritage","39","","e00459","","","0","10.1016/j.daach.2025.e00459","https://www.scopus.com/pages/publications/105016804149?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105016804149"
"Haļzova Z.","Haļzova, Zinta (57919673200)","57919673200","Local History Research Databases in Latvian Public Libraries","2022","Digital Presentation and Preservation of Cultural and Scientific Heritage","12","","","55","62","0","10.55630/dipp.2022.12.3","https://www.scopus.com/pages/publications/85139467910?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139467910"
"Riechert T.; Beretta F.; Bruseker G.; Marx E.; Blanke J.; Alamercery V.; Hoffmann T.; Arndt N.","Riechert, Thomas (15136726800); Beretta, Francesco (37106053500); Bruseker, George (57189099266); Marx, Edgard (42161628400); Blanke, Jennifer (57214084183); Alamercery, Vincent (57214075157); Hoffmann, Tracy (57208923515); Arndt, Natanael (42461015000)","15136726800; 37106053500; 57189099266; 42161628400; 57214084183; 57214075157; 57208923515; 42461015000","Doctoral symposium on research on online databases in history (Rodbh 2019)","2019","CEUR Workshop Proceedings","2532","","","1","6","1","","https://www.scopus.com/pages/publications/85078087687?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85078087687"
