"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kita E.","Kita, Eisuke (56033080000)","56033080000","Evolutionary algorithm based on concept of stochastic schemata exploiter","2011","Computer Search Algorithms","","","","161","184","0","","https://www.scopus.com/pages/publications/84895298961?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-84895298961"
"Kita E.; Zuo Y.; Sugiura H.; Mizuno T.","Kita, Eisuke (56033080000); Zuo, Yi (57220717390); Sugiura, Hideyuki (55787044300); Mizuno, Takao (54898007700)","56033080000; 57220717390; 55787044300; 54898007700","Acceleration of Grammatical Evolution with Multiple Chromosome by Using Stochastic Schemata Exploiter","2017","Proceedings - 2017 4th International Conference on Mathematics and Computers in Sciences and in Industry, MCSI 2017","2018-January","","","190","195","1","10.1109/MCSI.2017.40","https://www.scopus.com/pages/publications/85050343071?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85050343071"
"Nösinger T.; Klettke M.; Heuer A.","Nösinger, Thomas (55531864500); Klettke, Meike (16039653400); Heuer, Andreas (9533312500)","55531864500; 16039653400; 9533312500","Evolution of XML schemata on conceptional level. Review: The codex approach for the solution of the validity problem; [Evolution von XML-Schemata auf Konzeptioneller Ebene Übersicht: Der Codex-Ansatz zur Lösung des Gültigkeitsproblems]","2012","CEUR Workshop Proceedings","850","","","29","34","2","","https://www.scopus.com/pages/publications/84871242752?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84871242752"
