"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Golipour L.; Conkie A.; Syrdal A.","Golipour, Ladan (15072558500); Conkie, Alistair (6508120365); Syrdal, Ann (6602543939)","15072558500; 6508120365; 6602543939","Prosodically Modifying Speech for Unit Selection Speech Synthesis Databases","2013","8th ISCA Workshop on Speech Synthesis, SSW 2013","","","","255","259","0","","https://www.scopus.com/pages/publications/85133160741?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85133160741"
"Menon S.; Ghoshal A.; Sarkar S.","Menon, Syam (7201837825); Ghoshal, Abhijeet (55502493700); Sarkar, Sumit (7403239069)","7201837825; 55502493700; 7403239069","Modifying Transactional Databases to Hide Sensitive Association Rules","2022","Information Systems Research","33","1","","152","178","16","10.1287/ISRE.2021.1033","https://www.scopus.com/pages/publications/85134711975?origin=resultslist","Article","Final","","Scopus","2-s2.0-85134711975"
